"Answer","Question","Answer Letters","Question Letters","Category","Publisher","Series","Universe","Difficulty"
"Xavier"," _____ Institute is the home of the X-Men","6","41","Super Heros","Marvel","X-Men","MCU","Easy"
"Ghost","____ Rider, Marvel's motorcyle-riding superhero","5","47","Super Heros","Marvel","Ghost Rider","MCU","Easy"
"Foggy","_____ Nelson, the Daredevil's law partner","5","41","Super Heros","Marvel","Daredevil","MCU","Easy"
"Pepper","_____ Potts is Tony Stark's romantic interest","6","45","Super Heros","Marvel","Iron-Man","MCU","Easy"
"Infinity","_____ Stones allow whoever wields them to have god-like powers","8","62","Super Heros","Marvel","Guardians of the Galaxy","MCU","Easy"
"Silver","_____ Surfer, servant of Galactus who bretrayed him to save Earth","6","65","Super Heros","Marvel","Silver Surfer","MCU","Easy"
"Scarlet","_____ Witch, twin sister of Quicksilver","7","39","Super Heros","Marvel","Avengers","MCU","Easy"
"Drax","_____, the Destroyer","4","20","Super Heros","Marvel","Guardians of the Galaxy","MCU","Easy"
"Black","______ Cat, ","5","12","Super Heros","Marvel","Amazing Spider-Man","MCU","Easy"
"Jessica","______ Jones, a superhero turned private investigator","7","53","Super Heros","Marvel","Jessica Jones","MCU","Medium"
"Winter Soldier","_______ Soldier","14","15","Super Heros","Marvel","Captain America","MCU","Easy"
"Invisible","_______ Woman, one of the Fantastic Four","9","40","Super Heros","Marvel","Fantastic Four","MCU","Easy"
"Professor","_______ X is the leader of the X-Men","9","36","Super Heros","Marvel","X-Men","MCU","Easy"
"Daredevil","A blind superhero who is a lawyer by day","9","40","Super Heros","Marvel","Daredevil","MCU","Easy"
"Hercules","A character based on Greek mythology and a member of the Avengers","8","65","Super Heros","Marvel","X-Men","MCU","Easy"
"Talos","A cunning spy of the Skrull Empire, a master shapeshifter","5","57","Super Heros","Marvel","Captain Marvel","MCU","Easy"
"Hawkeye","a deaf super hero","7","17","Super Heros","Marvel","Avengers","MCU","Easy"
"Nightcrawler","A devout Catholic with a demonic appearance","12","43","Super Heros","Marvel","X-Men","MCU","Easy"
"Lockjaw","a giant Inhuman bulldog whose super abilities include teleportation","7","67","Super Heros","Marvel","Inhumans","MCU","Easy"
"Inhumans","a group of Marvel superheroes whose stories focus on the royal family","8","69","Super Heros","Marvel","Inhumans","MCU","Easy"
"Venom","a sentient alien symbiote with an amorphous form needs to bond with a host to survive ","5","86","Super Heros","Marvel","Amazing Spider-Man","MCU","Easy"
"SHIELD","a special law enforcement and counter-terrorism agency in the MCU","6","65","Super Heros","Marvel","Avengers","MCU","Easy"
"Punisher","A vigilante who wears a skull like logo on his body armor","8","57","Super Heros","Marvel","The Punisher","MCU","Easy"
"Beast","A X-Men mutant possessing animal-like strength and agility","5","58","Super Heros","Marvel","X-Men","MCU","Easy"
"Warlock","Adam ________,  a synthetic being created by human scientists named ""The Enclave""","7","81","Super Heros","Marvel","Guardians of the Galaxy","MCU","Easy"
"Silver Surfer","an alien with metallic skin who travels through space riding a surfboard","13","72","Super Heros","Marvel","Silver Surfer","MCU","Easy"
"Vision","an android built by Ultron to be the ""perfect being"" who helps defeat Ultron","6","76","Super Heros","Marvel","Avengers","MCU","Easy"
"Scott Lang","Ant-Man's secret identity","10","25","Super Heros","Marvel","Ant-Man","MCU","Easy"
"Drax","Arthur Douglas we recreated as ______ to destroy Thanos","4","55","Super Heros","Marvel","Guardians of the Galaxy","MCU","Easy"
"Mansion","Avenger's _____ is where these superheroes live","7","47","Super Heros","Marvel","Avengers","MCU","Easy"
"Rocket","bio-engineered animal who is part of the Guardians of the Galaxy","6","64","Super Heros","Marvel","Guardians of the Galaxy","MCU","Easy"
"Bolt","Black _____, king of the Inhumans, who must remain silent","4","57","Super Heros","Marvel","Inhumans","MCU","Easy"
"Hulk","Bruce Banner is _____","4","21","Super Heros","Marvel","Hulk","MCU","Easy"
"Winter Soldier","Bucky Barnes is _______","14","23","Super Heros","Marvel","Captain America","MCU","Easy"
"America","Captain ______","7","14","Super Heros","Marvel","Captain America","MCU","Easy"
"Britain","Captain ______, ","7","16","Super Heros","Marvel","Captain America","MCU","Easy"
"Marvel","Captain ______, the most powerful female super hero","6","51","Super Heros","Marvel","Captain Marvel","MCU","Easy"
"Steve Rogers","Captain America's secret identity","12","33","Super Heros","Marvel","Captain America","MCU","Easy"
"Danvers","Carol ______, Captain Marvel's secret identity","7","46","Super Heros","Marvel","Captain Marvel","MCU","Easy"
"Marvel","Carol Danvers is also known as Captain ________","6","47","Super Heros","Marvel","Captain Marvel","MCU","Easy"
"Hawkeye","Clint Barton is _____","7","21","Super Heros","Marvel","Avengers","MCU","Easy"
"Drax","Created by Mentor & Kronos to destroy Thanos","4","44","Super Heros","Marvel","Guardians of the Galaxy","MCU","Easy"
"Strange","Doctor _____","7","12","Super Heros","Marvel","Dr. Strange","MCU","Easy"
"Strange","Doctor Strange first appeared in ______ Tales","7","45","Super Heros","Marvel","Dr. Strange","MCU","Easy"
"Sanctorum","Doctor Strange's home is called Sanctum _______","9","47","Super Heros","Marvel","Dr. Strange","MCU","Easy"
"Beast","Dr. Hank McCoy is also the ________","5","35","Super Heros","Marvel","X-Men","MCU","Easy"
"Doctor Strange","Dr. Stephen _______","14","19","Super Heros","Marvel","Dr. Strange","MCU","Easy"
"Agamotto","Dr. Strange wears the Eye of _____ around his neck","8","50","Super Heros","Marvel","Dr. Strange","MCU","Easy"
"Frost","Emma _____, once a villain, later joins the X-Men","5","49","Super Heros","Marvel","X-Men","MCU","Easy"
"Luke Cage","Failed prison experiment gave him unbreakable skin & superhuman strength","9","72","Super Heros","Marvel","Luke Cage","MCU",""
"Helicarrier","flying aircraft carrier, S.H.I.E.L.D.mobile command center","11","58","Super Heros","Marvel","Captain America","MCU","Easy"
"Howard Stark","Founder of Stark Industries","12","27","Super Heros","Marvel","Iron-Man","MCU","Easy"
"Castle","Frank _______, the Punisher","6","27","Super Heros","Marvel","The Punisher","",""
"Punisher","Frank Castle is the __________","8","30","Super Heros","Marvel","Guardians of the Galaxy","MCU","Easy"
"Rocket","Groot's best friend","6","19","Super Heros","Marvel","Iron-Man","MCU","Easy"
"Hogan","Happy _____ is Tony Starks driver, body guard, and assistant","5","60","Super Heros","Marvel","Avengers","MCU","Easy"
"Suspense","Hawkeye made his first appearance in Tales of ______","8","52","Super Heros","Marvel","Thor","MCU","Easy"
"Heimdall","he guards the Bifrost Bridge","8","28","Super Heros","Marvel","Thor","MCU","Easy"
"Drax","His family was killed by Thanos, he now lives to get revenge","4","60","Super Heros","Marvel","Guardians of the Galaxy","MCU","Easy"
"Wakanda","Home of the Black Panther","7","25","Super Heros","Marvel","Black Panther","MCU","Easy"
"Duckworld","Howard the Duck comes from the planet","9","37","Super Heros","Marvel","Howard the Duck","MCU","Easy"
"Cigars","Howard the Duck smokes _______","6","30","Super Heros","Marvel","Howard the Duck","MCU","Easy"
"Tony Stark","Iron-Man's secret identity","10","26","Super Heros","Marvel","Iron-Man","MCU","Easy"
"War Machine","James Rhodes is ________","11","24","Super Heros","Marvel","Captain America","MCU","Easy"
"Grey","Jean ____, member of the X-Men","4","30","Super Heros","Marvel","X-Men","MCU","Easy"
"Ghost Rider","Johnny Blaze is _______","11","23","Super Heros","Marvel","Ghost Rider","MCU","Easy"
"Shawowcat","Kitty Pryde is also _________, and a member of the X-Men","9","56","Super Heros","Marvel","X-Men","MCU","Easy"
"Captain America","Known for his shield","15","20","Super Heros","Marvel","Captain America","MCU","Easy"
"Cage","Luke ____, married Jessica Jones","4","32","Super Heros","Marvel","Luke Cage","MCU","Easy"
"Watson","Mary Jane _____, married Peter Parker/Spider-Man","6","48","Super Heros","Marvel","Amazing Spider-Man","MCU","Easy"
"Hawkeye","Master archer, member of the Avengers","7","37","Super Heros","Marvel","Avengers","MCU","Easy"
"Shang-Chi","master of the Ten Rings","9","23","Super Heros","Marvel","Shang-Chi","MCU","Easy"
"Vibranium","metal prized for its virtually indestructable nature, only found in Wakanda","9","75","Super Heros","Marvel","X-Men","MCU","Easy"
"Fantastic","Mr. _______, can stretch his body like rubber","9","45","Super Heros","Marvel","Fantastic Four","MCU","Easy"
"Wasp","Nadia Pym is ______","4","19","Super Heros","Marvel","Ant-Man","MCU","Easy"
"Romanova","Natasha __________, also known as the Black Widow","8","49","Super Heros","Marvel","Avengers","MCU","Easy"
"Black Widow","Natasha Romanoff is _____","11","25","Super Heros","Marvel","Avengers","MCU","Easy"
"Dormannu","Nemesis of Dr. Strange from the Dark Dimension","8","46","Super Heros","Marvel","Dr. Strange","MCU","Hard"
"Fury","Nick _____, Director of SHIELD","4","30","Super Heros","Marvel","Avengers","MCU","Easy"
"Groot","Only says ""I am _____""","5","22","Super Heros","Marvel","Guardians of the Galaxy","MCU","Easy"
"Carter","Peggy _____, love interest of Captain America","6","45","Super Heros","Marvel","Captain America","MCU","Easy"
"Star-Lord","Peter Quill is _______","9","22","Super Heros","Marvel","Guardians of the Galaxy","MCU","Easy"
"Coulson","Phil _____, SHIELD agent","7","24","Super Heros","Marvel","Avengers","MCU","Easy"
"Wong","Protects the New York Sanctum with Doctor Strange","4","49","Super Heros","Marvel","Dr. Strange","MCU","Easy"
"Richards","Reed ________, leader of the Fantastic Four","8","43","Super Heros","Marvel","Fantastic Four","MCU","Easy"
"Jones","Rick _____, Hulk's closest confidant","5","36","Super Heros","Marvel","Hulk","MCU","Easy"
"Raccoon","Rocket is a bio-engineered ______","7","33","Super Heros","Marvel","Guardians of the Galaxy","MCU","Easy"
"Halfworld","Rocket Raccoon comes from Planet ______","9","39","Super Heros","Marvel","Guardians of the Galaxy","MCU","Medium"
"Falcon","Sam Wilson is the ________","6","26","Super Heros","Marvel","Captain America","MCU","Easy"
"Ant Man","Scott Lang","7","10","Super Heros","Marvel","Ant-Man","MCU","Easy"
"Groot","Sentient alien tree that keeps the universe safe","5","48","Super Heros","Marvel","Guardians of the Galaxy","","Easy"
"Yondo","Star Lord's ""adopted"" father","5","28","Super Heros","Marvel","Guardians of the Galaxy","","Easy"
"Ego","Star Lord's father","3","18","Super Heros","Marvel","Guardians of the Galaxy","","Easy"
"Captain America","Steve Rogers is ______","15","22","Super Heros","Marvel","Captain America","MCU","Easy"
"Thing","Stony giant who is one of the Fantastic Four","5","44","Super Heros","Marvel","Fantastic Four","MCU","Easy"
"Black Panther","T'Challa is ________","13","20","Super Heros","Marvel","Black Panther","MCU","Easy"
"Ancient","The ______ One, is Soccer Supreme & Dr. Strange's mentor","7","56","Super Heros","Marvel","Avengers","MCU","Easy"
"Avengers","The _______ is a team of Marvel superheroes","8","43","Super Heros","Marvel","Avengers","MCU","Easy"
"X-Men","The Beast first appeared in ","5","28","Super Heros","Marvel","X-Men","MCU","Easy"
"Levitation","The Cloak of ______ is worn by Dr. Strange","10","42","Super Heros","Marvel","Dr. Strange","MCU","Easy"
"Valkyrie","The goddess Brunnhilde, one of Asgard's mightiest warriors","8","58","Super Heros","Marvel","Thor","MCU","Easy"
"Asgard","The home of Thor, Odin and the Valkyrie","6","39","Super Heros","Marvel","Thor","MCU","Easy"
"Jarvis","The loyal butler to the Stark family","6","36","Super Heros","Marvel","Iron-Man","MCU","Easy"
"Sam Wilson","The secret identity of the 2nd Captain America","10","46","Super Heros","Marvel","Captain America","MCU","Easy"
"Danger","The X-Men train in the specially built_______ Room","6","50","Super Heros","Marvel","X-Men","MCU","Easy"
"Loki","Thor's adopted brother","4","22","Super Heros","Marvel","Thor","MCU","Easy"
"Iron Man","Tony Stark is ______","8","20","Super Heros","Marvel","Iron-Man","MCU","Easy"
"Klaue","Ulysses _____, in Black Panther","5","31","Super Heros","Marvel","Black Panther","MCU","Medium"
"Angel","Warren Kenneth Worthington III is an X-man, also known as","5","57","Super Heros","Marvel","X-Men","MCU","Medium"
"Thanos","Wiped out half the population of the universe","6","45","Super Heros","Marvel","Guardians of the Galaxy","MCU","Easy"
"Star-Lord","Yondo's ""adopted"" son","9","21","Super Heros","Marvel","Guardians of the Galaxy","MCU","Easy"
"Spiderman","Your friendly neighborhood _______","9","34","Super Heros","Marvel","The Amazing Spider-Man","MCU","Easy"
Absorbing,"______ Man, can take on the properties of any material he touches",,,,,,,
Apocalypse,,,,,,,,
Barracuda,A ruthless criminal and assissin who hunted the Punisher,,,,,,,
Blackheart,,,,,,,,
Black Knight,,,,,,,,
Bullseye,,,,,,,,
Cannonball,"Human ______, is supervillian appearing in Marvel comics",,,,,,,
Carnage,,,,,,,,
Chameleon,,,,,,,,
Chameleon,Spider-man's first adversay in The Amazing Spider-Man #1,,,,,,,
Deathstrike,"Laky _______, ",,,,,,,
Doctor Doom,,,,,,,,
Dormammu,one of Doctor Strange's fiercest advesaries,,,,,,,
Electro,,,,,,,,
Galactus,a cosmic entity that consumes planets to sustain its life force,,,,,,,
Grandmaster,,,,,,,,
Green Goblin,Norman Osborn turns into the,,,,,,,
Green Goblin,a Halloween-themed supervillain that flies on a hoverboard,,,,,,,
Hela,,,,,,,,
Hobgoblin,,,,,,,,
Juggernaut,a villian whose head is like a battering ram,,,,,,,
Kingpin,"a crime overlord, advesary of Spider-Man,Daredevil, Hawkeye, andthe Punisher",,,,,,,
Kraven,"_______, the Hunter, one of Spider-Man's advesaries",,,,,,,
Lizard,,,,,,,,
Loki,,,,,,,,
Loki,,,,,,,,
Mandarin,,,,,,,,
Maximus,both a member of and antagonist to the Inhumans,,,,,,,
Maneto,,,,,,,,
Mephisto,,,,,,,,
Morbius,"A vampire inspired Spider-Man advesary, he became an antihero with his own series",7,81,,,,,
Mastermind,"Jason Wyngrade, is also the supervillian _______",,,,,,,
Molten Man,"One of Spider-Man's early advesaries, his body can generate extreme heat and radiation",,,,,,,
Mysterio,,,,,,,,
Mystique,,,,,,,,
Norman,"____ Osborn, global industrialist and the Green Goblin",,,,,,,
Octopus,"Doctor _____, Spider-man's first villian",,,,,,,
Omega,"_______ Red, ",,,,,,,
Onslaught,,,,,,,,
Puppet,"______ Master, first appeared in Fantastic Four #8",,,,,,,
Pyro,,,,,,,,
Quicksilver,,,,,,,,
Red Skull,,,,,,,,
Rhino,"A green colored villian with a horn on his head, early Spider-Man advesary",,,,,,,
